"Resellers","Revendedores"
"Reseller","Revendedor"
"Become Our Reseller","Seja Nosso Revendedor"
"Become our reseller! We’ll get back to you as quickly as possible.","Tem interesse em ser nosso revendedor? Preencha os dados abaixo e nós entraremos em contato assim que possível!"
"Please enter a CPF with only 11 numbers or in a format xxx.xxx.xxx-xx","Digite um CPF com apenas 11 números ou no formato xxx.xxx.xxx-xx"
"* Required Fields","Campos obrigatórios"
"Write Us","Vire um representante ACN Organic"
"Name","Nome"
"Phone Number","Telefone"
"City","Cidade"
"Products that you want to resell","Produtos que deseja vender? (Ex.: Cestas, Verduras, etc)"
"General Message","Observações/Comentários"
"Submit","Enviar seus dados"
"Enter the Name and try again.","Entre com seu nome novamente."
"The email address is invalid. Verify the email address and try again.","Seu endereço de email não é válido. Verifique e tente novamente."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Obrigado pelo interesse em se tornar nosso revendedor. Entraremos em contato em breve!"
"An error occurred while processing your form. Please try again later.","Algum erro ocorreu enquanto processávamos seu formulário. Tente novamente mais tarde."
"ID %1 not found.","ID %1 não encontrado."
"Are you sure you want to delete a %1 record?", "Tem certeza que deseja deletar %1 ?"
"Delete","Excluir"
"Edit","Editar"
"Select","Ações"
